5 3 A #3 = 0, #5 = 5
5 2 BA #3 = 2, #5 = 5
5 1 BBA #3 = 4, #5 = 5
5 1 BBAABA #3 = 6, #5 = 5
5 1 BBAABAAAB #3 = 10, #5 = 5
5 1 BBABAAABA #3 = 8, #5 = 5
5 1 BBABAABA #3 = 8, #5 = 5
7 8 A #3 = 0, #5 = 0
7 9 BAAAABAAAAAAAABA #3 = 6, #5 = 0
7 8 BBA #3 = 4, #5 = 0
7 8 BBAAAAAAABA #3 = 6, #5 = 0
7 7 BBAABAAAAAAAAABA #3 = 8, #5 = 0
7 6 BBAABAAAAAAAAABAAAABA #3 = 10, #5 = 0
7 6 BBAABAAABA #3 = 8, #5 = 0
7 5 BBAABAAABAAAABA #3 = 10, #5 = 0
7 4 BBAABAAABAAAABAAAAABA #3 = 12, #5 = 0
7 3 BBAABAAABAAAABAAAAAB #3 = 14, #5 = 0
7 5 BBAABAAABBAAAAAAAAAAB #3 = 12, #5 = 0
7 4 BBABA #3 = 6, #5 = 0
7 4 BBABAAAAAAAAAABAAAABA #3 = 10, #5 = 0
7 4 BBABAAABA #3 = 8, #5 = 0
7 4 BBABAAABAAAAAAAAAAAAB #3 = 10, #5 = 0
7 2 BBABAAABAAAAAABA #3 = 10, #5 = 0
7 2 BBABAAABAAAAAABAAAAAB #3 = 12, #5 = 0
7 3 BBABAAABAAAABA #3 = 10, #5 = 0
7 1 BBABAAABAAAABAAAAAABA #3 = 12, #5 = 0
7 3 BBABAAABAAAABABA #3 = 12, #5 = 0
7 1 BBABAAABAAAABABAAAABA #3 = 14, #5 = 0
7 2 BBABAAABAAAABABAAABA #3 = 14, #5 = 0
7 8 BBBAAAAAABAAABBA #3 = 12, #5 = 0
7 7 BBBBAAAAAAAAAABA #3 = 10, #5 = 0
7 6 BBBBAAAAAAAAAABAAAABA #3 = 12, #5 = 0
7 6 BBBBAAAAABAAAAAAAAAAB #3 = 12, #5 = 0
7 5 BBBBAAAAABAAAABA #3 = 12, #5 = 0
7 4 BBBBAAAAABAAAABAAAAB #3 = 16, #5 = 0
7 2 BBBBAAAAABAAABAAAAABA #3 = 14, #5 = 0
7 6 BBBBAAABA #3 = 10, #5 = 0
7 5 BBBBAAABAAAAABA #3 = 12, #5 = 0
7 4 BBBBAAABAAAAABAAAAAAB #3 = 14, #5 = 0
7 2 BBBBAAABAAAAABAAAABA #3 = 14, #5 = 0
7 4 BBBBAAABAAAAABBA #3 = 14, #5 = 0
7 1 BBBBAAABAAAAABBAAAAAB #3 = 16, #5 = 0
7 2 BBBBAAABAAAAABBAAABA #3 = 16, #5 = 0
7 3 BBBBAAABAAAAABBAAABAB #3 = 18, #5 = 0
7 5 BBBBAAABAAAABA #3 = 12, #5 = 0
7 4 BBBBAAABAAAABAAAAABA #3 = 14, #5 = 0
7 3 BBBBAAABAAAABAAAAABBA #3 = 16, #5 = 0
7 2 BBBBAAABAAAABAAAAAB #3 = 18, #5 = 0
7 2 BBBBAABAAAAAAAAAAAAAB #3 = 12, #5 = 0
7 1 BBBBAABAAAAAABA #3 = 12, #5 = 0
7 1 BBBBAABAAAAAABAAAAAB #3 = 16, #5 = 0
7 2 BBBBAABAAAABA #3 = 12, #5 = 0
7 1 BBBBAABAAAABAAAAAABA #3 = 14, #5 = 0
7 1 BBBBAABAAAABAAAAAABAB #3 = 16, #5 = 0
7 2 BBBBAABAAAABAAAAABA #3 = 14, #5 = 0
7 6 BBBBAABAABA #3 = 12, #5 = 0
7 5 BBBBAABAABABA #3 = 14, #5 = 0
7 4 BBBBAABAABABAAAAAAAAB #3 = 16, #5 = 0
7 4 BBBBAABAABABAAAAAABA #3 = 16, #5 = 0
7 3 BBBBAABAABABAAAAAABAB #3 = 18, #5 = 0
7 2 BBBBAABAABABAAAABA #3 = 16, #5 = 0
7 6 BBBBBAAAAAAAAABAAAAB #3 = 16, #5 = 0
7 5 BBBBBAAABAAAAAAAAAAAB #3 = 14, #5 = 0
7 4 BBBBBAAABAAAAABA #3 = 14, #5 = 0
7 3 BBBBBAAABAAAAABAAAAAB #3 = 16, #5 = 0
7 3 BBBBBAAABAAAAABAAAAB #3 = 18, #5 = 0
7 3 BBBBBAAABAAAABA #3 = 14, #5 = 0
7 2 BBBBBAAABAAAABAAAAABA #3 = 16, #5 = 0
7 2 BBBBBAAABAAAABBAAAABA #3 = 18, #5 = 0
7 4 BBBBBAAABAAABABA #3 = 16, #5 = 0
7 3 BBBBBAAABAAABABAAAABA #3 = 18, #5 = 0
7 1 BBBBBAAABAAABABAAABA #3 = 18, #5 = 0
7 2 BBBBBAAABAAABABAAABBA #3 = 20, #5 = 0
7 4 BBBBBABA #3 = 12, #5 = 0
7 4 BBBBBABAAAAAAAAAAAAAB #3 = 14, #5 = 0
7 2 BBBBBABAAAAAAABAAAAAB #3 = 16, #5 = 0
7 3 BBBBBABAAAAABA #3 = 14, #5 = 0
7 1 BBBBBABAAAAABAAAAAAAB #3 = 16, #5 = 0
7 2 BBBBBABAAAAABAAAAAABA #3 = 16, #5 = 0
7 2 BBBBBABAAAAABAAAAAAB #3 = 18, #5 = 0
7 2 BBBBBABAAAAABAAAAABAB #3 = 18, #5 = 0
7 2 BBBBBABAAAAABAAAABAAB #3 = 18, #5 = 0
7 2 BBBBBABAAAABA #3 = 14, #5 = 0
7 2 BBBBBABAAAABAAAAAAABA #3 = 16, #5 = 0
7 1 BBBBBABAAAABAAAAABA #3 = 16, #5 = 0
7 2 BBBBBABAAABAAABA #3 = 16, #5 = 0
7 2 BBBBBABAAABAAABAAAABA #3 = 18, #5 = 0
7 1 BBBBBABAAABAAABAABA #3 = 18, #5 = 0
7 5 BBBBBABABAAAAAAAAAAAB #3 = 16, #5 = 0
7 4 BBBBBABABAAAABA #3 = 16, #5 = 0
7 3 BBBBBABABAAAABAAAAAAB #3 = 18, #5 = 0
7 3 BBBBBABABAAAABAAAAABA #3 = 18, #5 = 0
7 3 BBBBBABABAAAABAAAABAB #3 = 20, #5 = 0
7 3 BBBBBABABAABA #3 = 16, #5 = 0
7 2 BBBBBABABAABAAAAAAAAB #3 = 18, #5 = 0
7 1 BBBBBABABAABAAAAAAABA #3 = 18, #5 = 0
7 2 BBBBBABABAABAAAAAAAB #3 = 20, #5 = 0
7 2 BBBBBABABAABAAAAAABA #3 = 18, #5 = 0
7 1 BBBBBABABAABAAAABAAAB #3 = 20, #5 = 0
7 2 BBBBBABABAABABAAAAABA #3 = 20, #5 = 0
7 2 BBBBBABABAABABAAABA #3 = 20, #5 = 0
7 4 BBBBBABABAABBA #3 = 18, #5 = 0
7 3 BBBBBABABAABBAAAAABA #3 = 20, #5 = 0
7 1 BBBBBABABABA #3 = 16, #5 = 0
7 1 BBBBBABABABAAAAAAABA #3 = 18, #5 = 0
7 1 BBBBBABABABAAAAABA #3 = 18, #5 = 0
7 1 BBBBBABABABAAAAABBA #3 = 20, #5 = 0
7 3 BBBBBABABABAABA #3 = 18, #5 = 0
7 2 BBBBBABABABAABAAAAABA #3 = 20, #5 = 0
7 1 BBBBBABABABAABAAABA #3 = 20, #5 = 0
7 2 BBBBBABABABAABAAABABA #3 = 22, #5 = 0
7 2 BBBBBABABABAABAABBA #3 = 22, #5 = 0
7 1 BBBBBABABABAABABAAABA #3 = 22, #5 = 0
7 2 BBBBBABABABAABBABA #3 = 22, #5 = 0
7 7 BBBBBBAAAAAAAABAAAAB #3 = 18, #5 = 0
7 6 BBBBBBBAAAAAAAAAAAAAB #3 = 16, #5 = 0
7 5 BBBBBBBAAAABA #3 = 16, #5 = 0
